task,baseline,CSC,ran,secs,AME,FIVR,CSAT,DET,seed,input_type,reason
revenue_reference_mode,naive_rescale,1,True,0.029,0.0,0.0,,,46,schema,
revenue_reference_mode,sdv_gaussian_copula,0,True,0.839,0.21326085526194002,0.0,,,46,data,
revenue_reference_mode,sdv_ctgan,0,True,48.615,0.030931800981966955,0.0,,,46,data,
revenue_reference_mode,sdv_hma,0,True,1.546,0.21326085526194002,0.0,,,46,data,
revenue_reference_mode,misata,1,True,0.039,0.0,0.0,,,47,nl,
revenue_reference_mode,faker,1,True,0.002,0.8873888765878347,0.0,,,47,schema,
revenue_reference_mode,naive_rescale,1,True,0.034,1.4551915228366853e-16,0.0,,,47,schema,
revenue_reference_mode,sdv_gaussian_copula,0,True,0.906,0.21326085526194002,0.0,,,47,data,
revenue_reference_mode,sdv_ctgan,0,True,49.509,0.4649793129254907,0.0,,,47,data,
revenue_reference_mode,sdv_hma,0,True,1.495,0.21326085526194002,0.0,,,47,data,
revenue_reference_mode,misata,1,True,0.059,0.0,0.0,,,48,nl,
revenue_reference_mode,faker,1,True,0.002,0.8994384106956014,0.0,,,48,schema,
revenue_reference_mode,naive_rescale,1,True,0.03,1.4551915228366853e-16,0.0,,,48,schema,
revenue_reference_mode,sdv_gaussian_copula,0,True,0.773,0.21326085526194002,0.0,,,48,data,
revenue_reference_mode,sdv_ctgan,0,True,48.108,1.3200347344161616,0.0,,,48,data,
revenue_reference_mode,sdv_hma,0,True,1.473,0.21326085526194002,0.0,,,48,data,
revenue_reference_mode,misata,1,True,0.037,0.0,0.0,,,49,nl,
revenue_reference_mode,faker,1,True,0.002,0.8956846337634173,0.0,,,49,schema,
